PlayerName,Country,Age,Height,Position,YearsPlayed,MeanYear,Appearances,Goals,BirthPlace,Longitude,Latitude
Mario Rond&#xF3;n,Venezuela,28,1.82,Forward,2011-,2012.5,7,2,Caracas,-66.9167,10.5
Andr&#xE9;s Rouga,Venezuela,32,1.81,Defender,,,23,0,Caracas,-66.9167,10.5
Manuel Sanhouse,Venezuela,39,1.87,Goalkeeper,1999-2007,2003,16,0,M&#xE9;rida M&#xE9;rida,-71.15,8.6
Jos&#xE9; Torrealba,Venezuela,34,1.74,Forward,2005-,2009.5,17,4,Acarigua,-69.2019,9.5597
Javier Toyo,Venezuela,36,1.8,Goalkeeper,2006-,2010,10,0,Caracas,-66.9167,10.5
Giovanni Savarese,Venezuela,43,,Forward,1989-2001,1995,30,10,Caracas,-66.9167,10.5
Andr&#xE9;s T&#xFA;&#xF1;ez,Venezuela,27,1.87,Defender,2011-,2012.5,10,0,Caracas,-66.9167,10.5
Edson Tortolero,Venezuela,43,,Midfielder,1993-2006,1999.5,39,3,Venezuela,-66.9667,10.5
Jos&#xE9; Manuel Vel&#xE1;zquez,Venezuela,24,1.84,Defender,2009-,2011.5,12,1,Ciudad Bol&#xED;var,,
Juan Carlos Socorro,Venezuela,42,1.76,Midfielder,1996-1997,1996.5,5,0,Caracas,-66.9167,10.5
Ronald Vargas,Venezuela,27,1.74,Midfielder,2008-,2011,15,3,Guatire,-66.5406,10.4717
Gabriel Urdaneta,Venezuela,38,1.8,Midfielder,1996-2005,2000.5,77,9,M&#xE9;rida M&#xE9;rida,-71.15,8.6
Luis Vera,Venezuela,41,1.68,Midfielder,1996-2007,2001.5,53,1,Ciudad Bol&#xED;var,,
Luis Vallenilla,Venezuela,40,1.86,Defender,1996-2008,2002,77,1,Caracas,-66.9167,10.5
Cheche Vidal,Venezuela,55,,Defender,,,,,Venezuela,-66.9667,10.5
Gilberto Angelucci,Venezuela,47,1.98,Goalkeeper,1995-2005,2000,47,0,Tur&#xE9;n,,
